## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/K562/K562_WGS_pair1.sorted.bam] OUTPUT=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/K562/K562_WGS_pair1.marked_duplicates.bam METRICS_FILE=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/K562/K562_WGS_pair1.duplicate_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jan 16 17:54:59 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGS	5992773	219347918	38201568	25708291	1919808	18036568	1846825	0.085437	1387571778

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007838	186027047	0	187622760
2.0	1.868311	13746130	1806428	12362682
3.0	2.602966	1174332	19657	985322
4.0	3.230201	174162	261	154824
5.0	3.765723	60317	3	58022
6.0	4.222941	32974	3	32480
7.0	4.613305	21621	0	21478
8.0	4.94659	15396	0	15263
9.0	5.231143	11499	0	11439
10.0	5.474089	8794	0	8729
11.0	5.681512	6849	1	6738
12.0	5.858605	5555	0	5498
13.0	6.009804	4458	0	4405
14.0	6.138895	3635	0	3603
15.0	6.249111	2977	0	2910
16.0	6.343211	2509	0	2459
17.0	6.423551	2013	0	1952
18.0	6.492145	1657	0	1636
19.0	6.550708	1453	0	1396
20.0	6.600709	1080	0	1073
21.0	6.643398	963	0	955
22.0	6.679846	856	0	798
23.0	6.710964	660	0	638
24.0	6.737532	597	0	581
25.0	6.760216	516	0	518
26.0	6.779582	435	0	419
27.0	6.796117	359	0	352
28.0	6.810234	309	0	289
29.0	6.822287	286	0	273
30.0	6.832578	215	0	205
31.0	6.841364	191	0	190
32.0	6.848865	170	0	162
33.0	6.85527	156	0	149
34.0	6.860738	123	0	126
35.0	6.865406	112	0	107
36.0	6.869392	98	0	85
37.0	6.872795	72	0	80
38.0	6.8757	87	0	83
39.0	6.878181	60	0	53
40.0	6.880299	64	0	70
41.0	6.882107	55	0	49
42.0	6.883651	48	0	44
43.0	6.884969	42	0	51
44.0	6.886094	53	0	43
45.0	6.887055	24	0	29
46.0	6.887875	39	0	37
47.0	6.888576	25	0	25
48.0	6.889174	23	0	22
49.0	6.889684	21	0	20
50.0	6.89012	17	0	16
51.0	6.890492	20	0	21
52.0	6.89081	13	0	11
53.0	6.891081	18	0	19
54.0	6.891313	16	0	13
55.0	6.891511	9	0	9
56.0	6.89168	8	0	11
57.0	6.891824	11	0	10
58.0	6.891947	15	0	12
59.0	6.892052	11	0	13
60.0	6.892142	5	0	3
61.0	6.892218	6	0	9
62.0	6.892284	7	0	7
63.0	6.892339	6	0	5
64.0	6.892387	3	0	2
65.0	6.892428	7	0	7
66.0	6.892463	4	0	5
67.0	6.892492	7	0	6
68.0	6.892518	2	0	2
69.0	6.892539	3	0	2
70.0	6.892558	3	0	4
71.0	6.892573	1	0	2
72.0	6.892587	7	0	6
73.0	6.892598	4	0	3
74.0	6.892608	3	0	3
75.0	6.892616	1	0	2
76.0	6.892624	1	0	2
77.0	6.89263	2	0	3
78.0	6.892635	3	0	1
79.0	6.892639	1	0	2
80.0	6.892643	2	0	2
81.0	6.892646	1	0	0
82.0	6.892649	1	0	0
83.0	6.892652	3	0	3
84.0	6.892654	1	0	1
85.0	6.892655	0	0	0
86.0	6.892657	0	0	1
87.0	6.892658	1	0	0
88.0	6.892659	0	0	0
89.0	6.89266	1	0	1
90.0	6.892661	1	0	1
91.0	6.892662	0	0	0
92.0	6.892662	1	0	1
93.0	6.892663	0	0	0
94.0	6.892663	1	0	1
95.0	6.892663	0	0	1
96.0	6.892664	1	0	0
97.0	6.892664	0	0	0
98.0	6.892664	0	0	0
99.0	6.892664	0	0	0
100.0	6.892664	0	0	0
103.0	0	1	0	1
107.0	0	0	0	1
110.0	0	1	0	0
113.0	0	1	0	1
124.0	0	0	0	1
125.0	0	1	0	0
264.0	0	0	1	0
745.0	0	0	0	1
1008.0	0	1	0	0

