## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/NCI-H460/NCI-H460_WGS_pair1.sorted.bam] OUTPUT=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/NCI-H460/NCI-H460_WGS_pair1.marked_duplicates.bam METRICS_FILE=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/NCI-H460/NCI-H460_WGS_pair1.duplicate_metrics.txt ASSUME_SORTED=true TMP_DIR=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/NCI-H460/temp_manual] VALIDATION_STRINGENCY=LENIENT MAX_RECORDS_IN_RAM=10000000    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 19 22:36:36 PST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2127470	353211660	3739043	11365388	576418	35482759	4601568	0.100969	1849681191

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.01198	286448021	0	290180379
2.0	1.848045	28076816	4399804	25081330
3.0	2.538774	2700477	96200	2064037
4.0	3.109432	321735	2906	237963
5.0	3.58089	79756	148	68266
6.0	3.970394	37419	8	35117
7.0	4.292189	22035	1	21109
8.0	4.558046	14039	0	13531
9.0	4.777688	9079	1	8734
10.0	4.959149	6093	0	5745
11.0	5.109066	4086	0	3892
12.0	5.232923	2725	0	2576
13.0	5.335249	1837	0	1726
14.0	5.419788	1300	0	1207
15.0	5.489631	896	0	861
16.0	5.547333	610	0	565
17.0	5.595004	454	0	418
18.0	5.634389	338	0	310
19.0	5.666927	239	0	227
20.0	5.693809	185	0	177
21.0	5.716018	152	0	142
22.0	5.734367	108	0	101
23.0	5.749526	90	0	91
24.0	5.762049	70	0	60
25.0	5.772396	56	0	61
26.0	5.780944	39	0	34
27.0	5.788006	39	0	43
28.0	5.793841	37	0	31
29.0	5.798661	18	0	20
30.0	5.802644	18	0	21
31.0	5.805934	26	0	22
32.0	5.808652	11	0	12
33.0	5.810898	10	0	10
34.0	5.812753	14	0	11
35.0	5.814286	6	0	5
36.0	5.815552	1	0	2
37.0	5.816598	6	0	9
38.0	5.817463	6	0	5
39.0	5.818177	7	0	4
40.0	5.818767	3	0	3
41.0	5.819254	2	0	2
42.0	5.819657	4	0	4
43.0	5.819989	2	0	2
44.0	5.820264	1	0	1
45.0	5.820491	1	0	1
46.0	5.820679	1	0	1
47.0	5.820834	0	0	0
48.0	5.820962	0	0	0
49.0	5.821068	3	0	3
50.0	5.821155	0	0	0
51.0	5.821227	1	0	1
52.0	5.821287	0	0	0
53.0	5.821336	0	0	0
54.0	5.821377	1	0	1
55.0	5.821411	1	0	1
56.0	5.821438	0	0	0
57.0	5.821461	0	0	0
58.0	5.82148	0	0	0
59.0	5.821496	0	0	0
60.0	5.821509	0	0	0
61.0	5.82152	1	0	1
62.0	5.821528	0	0	1
63.0	5.821536	1	0	0
64.0	5.821542	1	0	1
65.0	5.821547	0	0	0
66.0	5.821551	0	0	0
67.0	5.821554	0	0	0
68.0	5.821557	0	0	0
69.0	5.821559	0	0	0
70.0	5.821561	0	0	0
71.0	5.821563	0	0	0
72.0	5.821564	0	0	0
73.0	5.821565	0	0	0
74.0	5.821566	1	0	1
75.0	5.821567	0	0	0
76.0	5.821568	1	0	1
77.0	5.821568	0	0	0
78.0	5.821569	0	0	0
