## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/Panc1/Panc1_WGS_pair1.sorted.bam] OUTPUT=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/Panc1/Panc1_WGS_pair1.marked_duplicates.bam METRICS_FILE=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/Panc1/Panc1_WGS_pair1.duplicate_metrics.txt ASSUME_SORTED=true TMP_DIR=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/Panc1/temp_20250225_143905] VALIDATION_STRINGENCY=LENIENT MAX_RECORDS_IN_RAM=10000000    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 25 19:21:25 MST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	3776992	515589789	4335232	39356042	1105686	53911821	6741744	0.10525	2572228937

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011966	414265177	0	419661864
2.0	1.840125	42385116	6441274	38124081
3.0	2.517863	4299925	143473	3326235
4.0	3.072502	501927	4212	365535
5.0	3.526399	101604	192	82659
6.0	3.897854	39505	15	36041
7.0	4.20184	21982	2	20931
8.0	4.450612	14536	1	13991
9.0	4.654198	10509	0	10272
10.0	4.820807	8042	0	7863
11.0	4.957154	6519	0	6357
12.0	5.068736	5169	1	5052
13.0	5.160051	4088	0	3990
14.0	5.23478	3164	0	3042
15.0	5.295935	2534	0	2426
16.0	5.345983	1954	1	1832
17.0	5.386941	1449	0	1398
18.0	5.420459	1174	0	1105
19.0	5.447889	895	0	818
20.0	5.470337	655	0	634
21.0	5.488708	518	0	454
22.0	5.503742	346	0	302
23.0	5.516045	271	0	261
24.0	5.526114	196	0	174
25.0	5.534353	151	0	144
26.0	5.541097	119	0	103
27.0	5.546615	91	0	77
28.0	5.551131	50	0	42
29.0	5.554827	47	0	45
30.0	5.557851	28	0	23
31.0	5.560327	26	0	23
32.0	5.562352	10	0	11
33.0	5.56401	11	0	7
34.0	5.565366	10	0	8
35.0	5.566477	7	0	6
36.0	5.567385	10	0	9
37.0	5.568129	3	0	3
38.0	5.568737	2	0	3
39.0	5.569235	7	0	6
40.0	5.569643	4	0	4
41.0	5.569976	2	0	2
42.0	5.570249	5	0	5
43.0	5.570472	5	0	5
44.0	5.570655	2	0	3
45.0	5.570805	2	0	2
46.0	5.570927	5	0	4
47.0	5.571027	4	0	4
48.0	5.571109	3	0	3
49.0	5.571176	1	0	1
50.0	5.571231	2	0	2
51.0	5.571276	1	0	1
52.0	5.571313	2	0	2
53.0	5.571343	1	0	1
54.0	5.571368	1	0	1
55.0	5.571388	3	0	3
56.0	5.571404	2	0	2
57.0	5.571418	3	0	3
58.0	5.571429	3	0	3
59.0	5.571438	2	0	2
60.0	5.571445	3	0	3
61.0	5.571451	0	0	0
62.0	5.571456	0	0	0
63.0	5.57146	0	0	0
64.0	5.571464	1	0	1
65.0	5.571466	1	0	1
66.0	5.571469	3	0	3
67.0	5.57147	0	0	0
68.0	5.571472	1	0	1
69.0	5.571473	1	0	1
70.0	5.571474	0	0	0
71.0	5.571475	2	0	2
72.0	5.571476	0	0	0
73.0	5.571476	0	0	0
74.0	5.571477	0	0	0
75.0	5.571477	1	0	1
76.0	5.571477	0	0	0
77.0	5.571478	2	0	2
78.0	5.571478	2	0	2
79.0	5.571478	1	0	1
80.0	5.571478	2	0	2
81.0	5.571478	0	0	0
82.0	5.571478	1	0	1
83.0	5.571478	0	0	0
84.0	5.571478	2	0	2
85.0	5.571478	0	0	0
86.0	5.571478	0	0	0
87.0	5.571478	0	0	0
88.0	5.571479	4	0	4
89.0	5.571479	0	0	0
90.0	5.571479	0	0	0
91.0	5.571479	1	0	1
92.0	5.571479	0	0	0
93.0	5.571479	0	0	0
94.0	5.571479	2	0	2
95.0	5.571479	0	0	0
96.0	5.571479	0	0	0
97.0	5.571479	0	0	0
98.0	5.571479	0	0	0
99.0	5.571479	0	0	0
100.0	5.571479	1	0	1
101.0	0	1	0	1
103.0	0	1	0	1
105.0	0	2	0	2
106.0	0	1	0	1
107.0	0	1	0	1
108.0	0	1	0	1
109.0	0	1	0	2
113.0	0	2	0	1
123.0	0	1	0	1
124.0	0	1	0	1
130.0	0	1	0	1
133.0	0	1	0	1
136.0	0	1	0	1
151.0	0	1	0	1
154.0	0	1	0	1
158.0	0	1	0	1
162.0	0	1	0	1
171.0	0	1	0	1
178.0	0	1	0	1
181.0	0	1	0	1
191.0	0	1	0	1
192.0	0	1	0	1
195.0	0	1	0	1
198.0	0	1	0	1
245.0	0	1	0	1
251.0	0	1	0	1
257.0	0	1	0	1
263.0	0	1	0	1
315.0	0	1	0	1
339.0	0	1	0	1
340.0	0	1	0	1
348.0	0	0	0	1
349.0	0	1	0	0
355.0	0	1	0	1
366.0	0	1	0	1
427.0	0	1	0	1
430.0	0	1	0	1
477.0	0	1	0	1
501.0	0	1	0	1
