## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/sknmc/sknmc_WGS_pair1.sorted.bam] OUTPUT=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/sknmc/sknmc_WGS_pair1.marked_duplicates.bam METRICS_FILE=/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/sknmc/sknmc_WGS_pair1.duplicate_metrics.txt ASSUME_SORTED=true TMP_DIR=[/mnt/czi-sci-ai/intrinsic-variation-gene-ex/encode_analysis/data/bam/sknmc/temp_20250221_144254] VALIDATION_STRINGENCY=LENIENT MAX_RECORDS_IN_RAM=10000000    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 21 17:07:03 MST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2127390	419376903	3800585	7853092	583459	43293286	5300944	0.103665	2116246828

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011576	337648438	0	341928865
2.0	1.841301	34637140	5080704	31229835
3.0	2.521866	3310150	105458	2553447
4.0	3.080087	334241	2938	233564
5.0	3.537956	58604	117	46605
6.0	3.913515	24627	7	22790
7.0	4.221559	15704	0	15244
8.0	4.474226	11745	1	11535
9.0	4.681472	9068	0	8888
10.0	4.851461	7181	0	7053
11.0	4.990891	5819	0	5699
12.0	5.105256	4539	0	4443
13.0	5.199061	3676	0	3597
14.0	5.276003	2894	0	2794
15.0	5.339113	2321	0	2237
16.0	5.390878	1817	0	1772
17.0	5.433337	1353	0	1254
18.0	5.468164	1037	0	968
19.0	5.496729	770	0	758
20.0	5.52016	672	0	593
21.0	5.539378	478	0	454
22.0	5.555141	353	0	309
23.0	5.568071	226	0	205
24.0	5.578676	186	0	187
25.0	5.587375	111	0	107
26.0	5.59451	112	0	82
27.0	5.600362	65	0	66
28.0	5.605163	58	0	49
29.0	5.6091	32	0	29
30.0	5.612329	36	0	32
31.0	5.614978	26	0	21
32.0	5.617151	18	0	17
33.0	5.618933	13	0	13
34.0	5.620395	9	0	10
35.0	5.621594	5	0	5
36.0	5.622577	11	0	8
37.0	5.623384	8	0	8
38.0	5.624046	5	0	5
39.0	5.624588	4	0	4
40.0	5.625034	0	0	0
41.0	5.625399	4	0	4
42.0	5.625698	3	0	3
43.0	5.625944	2	0	2
44.0	5.626145	0	0	0
45.0	5.626311	4	0	4
46.0	5.626446	2	0	2
47.0	5.626557	1	0	1
48.0	5.626649	4	0	4
49.0	5.626723	0	0	0
50.0	5.626785	2	0	2
51.0	5.626835	0	0	0
52.0	5.626876	1	0	1
53.0	5.62691	0	0	1
54.0	5.626938	2	0	2
55.0	5.626961	1	0	1
56.0	5.626979	1	0	1
57.0	5.626995	1	0	1
58.0	5.627007	0	0	0
59.0	5.627018	0	0	0
60.0	5.627026	2	0	1
61.0	5.627033	0	0	0
62.0	5.627039	1	0	1
63.0	5.627043	2	0	2
64.0	5.627047	0	0	0
65.0	5.62705	1	0	1
66.0	5.627053	1	0	1
67.0	5.627055	0	0	0
68.0	5.627057	2	0	2
69.0	5.627058	0	0	0
70.0	5.627059	1	0	1
71.0	5.62706	0	0	0
72.0	5.627061	2	0	2
73.0	5.627062	1	0	1
74.0	5.627062	1	0	1
75.0	5.627063	0	0	0
76.0	5.627063	0	0	0
77.0	5.627063	0	0	0
