FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,inferred_ancestry,data_source,assignment_confidence,distance_to_centroid,sample_type,known_ancestry,donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,KNN_prediction,RandomForest_prediction,ml_consensus_prediction,KNN_confidence,RandomForest_confidence,ml_consensus_confidence,projection_status,final_consensus_ancestry,final_consensus_confidence,final_consensus_method
NA06985,NA06985,-0.0122752,-0.00727623,0.0109077,0.00163169,-0.00152619,0.00133344,-0.00227797,-0.00225859,-0.000916154,0.00604412,-0.00159439,0.0129533,0.018162,-0.0322634,-0.0106909,0.0262328,-0.0103869,1.13783e-05,0.00121558,0.00224629,EUR,MAGE,0.8837415830182382,0.000623595277845,MAGE,white,NA06985,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8837415830182382,Stage1_PCA
NA07000,NA07000,-0.0128488,-0.00758789,0.00976125,0.00272814,0.00312885,0.00289343,0.00171378,0.00107609,0.000680231,0.00627959,-0.000190643,0.0169641,0.0164116,-0.0315348,-0.010168,0.0264349,-0.00914403,-0.000770915,0.00178099,0.00282912,EUR,MAGE,0.783271936382736,0.0011625016111258,MAGE,white,NA07000,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.783271936382736,Stage1_PCA
NA11919,NA11919,-0.0126338,-0.00779281,0.0100943,0.00279655,-0.00177307,0.000519768,-0.00149065,-0.00220333,0.00258421,0.00843884,-0.00132278,0.0142039,0.0166437,-0.0313611,-0.0118581,0.0253306,-0.00954253,-0.000101974,0.00140588,0.00227331,EUR,MAGE,0.7708230128876651,0.0012292760443868,MAGE,white,NA11919,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7708230128876651,Stage1_PCA
NA11930,NA11930,-0.0123113,-0.00706648,0.0108972,0.0027665,-0.00215022,0.00213904,-0.000524056,0.00168699,0.00105747,0.00676045,-0.00230917,0.00860428,0.0167871,-0.0317958,-0.0101246,0.0260738,-0.0107375,-0.00199382,0.00143788,0.00269708,EUR,MAGE,0.9189807525484408,0.0004345768799972,MAGE,white,NA11930,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.9189807525484408,Stage1_PCA
NA11932,NA11932,-0.0125294,-0.00790001,0.0110986,0.00251582,-0.000375375,0.000603392,0.0014548,-0.0011953,0.000195241,0.00680347,-0.00284072,0.00835543,0.0166157,-0.0323247,-0.01126,0.0267892,-0.00866571,-1.75819e-05,0.00155944,0.00175552,EUR,MAGE,0.7589887661720909,0.0012927534300271,MAGE,white,NA11932,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7589887661720909,Stage1_PCA
NA11933,NA11933,-0.0125507,-0.00792051,0.00849937,0.00316351,0.000413044,0.00168245,-0.000702673,-0.000581811,0.0021023,0.00733816,-0.00237924,0.0111259,0.018466,-0.0324971,-0.0116629,0.0267707,-0.00971463,-0.000526695,0.000484254,0.00452591,EUR,MAGE,0.7541303317276031,0.0013188134509354,MAGE,white,NA11933,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7541303317276031,Stage1_PCA
NA12003,NA12003,-0.0127684,-0.00678754,0.0100407,0.00174201,9.40481e-05,0.000666375,0.000544155,0.000863234,-0.00159223,0.00621624,0.000458423,0.0237185,0.0161233,-0.0305643,-0.00950842,0.0246614,-0.00948679,-0.00167602,0.00149221,0.00343047,EUR,MAGE,0.8804071395380197,0.0006414808061576,MAGE,white,NA12003,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8804071395380197,Stage1_PCA
NA12046,NA12046,-0.0123142,-0.00732433,0.00973602,0.0029392,-0.000682818,0.00052822,0.00231258,-0.000528778,0.00116783,0.00709177,-0.00136126,0.0124407,0.0168214,-0.0339986,-0.0123768,0.026385,-0.0100223,0.000150814,0.00130469,0.00206566,EUR,MAGE,0.8732921281671655,0.0006796448170557,MAGE,white,NA12046,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8732921281671655,Stage1_PCA
NA12058,NA12058,-0.0128501,-0.00811863,0.00948511,0.00228714,-0.000970552,-0.000964596,-0.0023051,-0.000901785,-0.000677158,0.00615682,-0.000934795,0.0131648,0.0172111,-0.0322751,-0.00987848,0.0257748,-0.0100459,-0.00129722,-0.000493476,0.00151287,EUR,MAGE,0.6987212776507283,0.0016160205295215,MAGE,white,NA12058,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.6987212776507283,Stage1_PCA
NA12154,NA12154,-0.0128943,-0.00831615,0.00762241,0.00479207,-0.0023648,-0.00147393,0.00332866,9.91195e-05,0.00156201,0.00697153,-0.000362246,0.0152815,0.0157756,-0.0308258,-0.0104768,0.0248632,-0.0101472,-0.000879807,0.00146981,0.00293861,EUR,MAGE,0.6619176360307667,0.0018134305555441,MAGE,white,NA12154,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.6619176360307667,Stage1_PCA
NA12275,NA12275,-0.0126245,-0.00774475,0.007499,0.00205542,-0.00302912,0.00132022,0.00163663,0.00191223,0.00255845,0.00638249,-0.00132202,0.0105523,0.0190609,-0.0349374,-0.0118396,0.0295546,-0.0104909,7.51107e-05,0.000694936,0.00176463,EUR,MAGE,0.7797121697665306,0.0011815957439183,MAGE,white,NA12275,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7797121697665306,Stage1_PCA
NA12286,NA12286,-0.0123853,-0.00614377,0.00803708,0.00399177,0.000245922,-0.000440905,0.00245959,-0.000106797,-0.000108316,0.00819609,-0.0033046,0.00291367,0.0170833,-0.0324207,-0.0128729,0.0261047,-0.0112898,-0.000504506,0.000510386,0.00366789,EUR,MAGE,0.89197303594141,0.0005794428172666,MAGE,white,NA12286,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.89197303594141,Stage1_PCA
NA12287,NA12287,-0.0128198,-0.00830996,0.0086959,0.00368777,0.00192105,-0.00150631,-0.0021624,0.00113059,0.00277174,0.00789424,0.000120302,0.00968629,0.0153564,-0.0309815,-0.0101667,0.0260029,-0.00960929,0.000261737,0.00124988,0.00403884,EUR,MAGE,0.6685352399451439,0.0017779345746182,MAGE,white,NA12287,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.6685352399451439,Stage1_PCA
NA12348,NA12348,-0.0126748,-0.00733079,0.00879954,0.00207828,-0.000420266,-0.00139869,0.00191847,-0.00139811,-0.000799539,0.00713452,0.00112181,0.0168363,0.0158749,-0.0312749,-0.0110304,0.0262618,-0.00851853,-0.00259132,0.00163918,0.00253598,EUR,MAGE,0.8409939096301722,0.0008528883299588,MAGE,white,NA12348,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8409939096301722,Stage1_PCA
NA12399,NA12399,-0.0127792,-0.00800787,0.00883541,0.00320246,-0.000676466,-0.00222068,0.000215627,-0.00263252,0.000536136,0.00737089,-9.28586e-06,0.0137533,0.0169705,-0.0320601,-0.0118382,0.0262077,-0.0105091,0.00092816,0.000803062,0.00220003,EUR,MAGE,0.7230680357241966,0.0014854276334576,MAGE,white,NA12399,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7230680357241966,Stage1_PCA
NA12413,NA12413,-0.0124746,-0.0071914,0.00983799,0.00277976,0.000707258,0.000572619,0.00129912,0.000225147,0.00204904,0.00703784,-0.00052227,0.00610318,0.0178744,-0.0331895,-0.0115336,0.0283294,-0.0105306,-0.000642404,0.00142818,0.00114701,EUR,MAGE,0.8839830032505567,0.0006223003305994,MAGE,white,NA12413,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8839830032505567,Stage1_PCA
