IID,sample_type,final_ancestry,ensemble_confidence,knn_prediction,knn_confidence,rf_prediction,rf_confidence,ensemble_agreement,PC1,PC2,PC3,PC4,PC5
NA06985,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0123462,-0.00914101,0.0041049,0.00740386,0.0139478
NA07000,MAGE,EUR,0.9958333333333333,EUR,1.0,EUR,0.9916666666666666,True,-0.0129163,-0.00928747,0.00372526,0.00694036,0.0180638
NA11919,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0126971,-0.00951484,0.00412221,0.00932953,0.0156078
NA11930,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0123947,-0.00887524,0.00520754,0.00842236,0.00948574
NA11932,MAGE,EUR,0.9902777777777778,EUR,1.0,EUR,0.9805555555555556,True,-0.0125965,-0.00977697,0.0050214,0.00865828,0.00957267
NA11933,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0125985,-0.00943341,0.00452289,0.00858757,0.0124092
NA12003,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0128419,-0.00855327,0.00299607,0.00640288,0.0244959
NA12046,MAGE,EUR,0.9943589743589742,EUR,1.0,EUR,0.9887179487179486,True,-0.0123764,-0.00898859,0.00424437,0.0080714,0.0141051
NA12058,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0129065,-0.00979147,0.00398272,0.00686897,0.0143053
NA12154,MAGE,EUR,0.998,EUR,1.0,EUR,0.996,True,-0.0129124,-0.0096854,0.00474308,0.00679871,0.0175627
NA12275,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.012664,-0.0091506,0.00319113,0.00704525,0.0118489
NA12286,MAGE,EUR,0.9893589743589744,EUR,1.0,EUR,0.9787179487179487,True,-0.0124499,-0.00752141,0.00520168,0.00948999,0.00478423
NA12287,MAGE,EUR,0.998,EUR,1.0,EUR,0.996,True,-0.0128604,-0.00979661,0.00397536,0.00800495,0.0110257
NA12348,MAGE,EUR,0.9934920634920635,EUR,1.0,EUR,0.9869841269841271,True,-0.0127324,-0.00889618,0.00214935,0.00661444,0.0187446
NA12399,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0128211,-0.00955457,0.00363448,0.0073444,0.0158265
NA12413,MAGE,EUR,0.9983333333333333,EUR,1.0,EUR,0.9966666666666667,True,-0.0125448,-0.00887599,0.00382836,0.00777395,0.00752883
NA12414,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0127023,-0.00906025,0.0026682,0.00688349,0.0160851
NA12546,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0126952,-0.00907908,0.00443771,0.00896246,0.0127327
NA12717,MAGE,EUR,0.9877777777777779,EUR,1.0,EUR,0.9755555555555556,True,-0.0127657,-0.00949022,0.00410519,0.00714815,0.015201
NA12718,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0125676,-0.00974805,0.00415165,0.00877227,0.01233
NA12748,MAGE,EUR,0.9983333333333333,EUR,1.0,EUR,0.9966666666666667,True,-0.0130079,-0.00918465,0.00436476,0.00530181,0.0133449
NA12762,MAGE,EUR,0.998,EUR,1.0,EUR,0.996,True,-0.0128483,-0.00942666,0.00412223,0.00747947,0.0132049
NA12778,MAGE,EUR,0.9957142857142858,EUR,1.0,EUR,0.9914285714285714,True,-0.0130967,-0.0101632,0.00354451,0.00642287,0.0183784
NA12812,MAGE,EUR,0.9976923076923077,EUR,1.0,EUR,0.9953846153846154,True,-0.0128957,-0.00959606,0.00474277,0.00715605,0.0143236
NA12815,MAGE,EUR,0.998,EUR,1.0,EUR,0.996,True,-0.0128808,-0.0090772,0.00473859,0.0079035,0.0184427
NA12828,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0126277,-0.00927889,0.00403805,0.00720414,0.0121616
NA12843,MAGE,EUR,0.9556666666666667,EUR,1.0,EUR,0.9113333333333334,True,-0.0130928,-0.00897016,0.00412034,0.00735632,0.0178122
NA12874,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0126511,-0.00960503,0.00320386,0.00712762,0.0153421
NA12878,MAGE,EUR,1.0,EUR,1.0,EUR,1.0,True,-0.0126675,-0.00963004,0.00344654,0.0072032,0.0155532
NA12889,MAGE,EUR,0.9840476190476191,EUR,1.0,EUR,0.9680952380952381,True,-0.0126792,-0.0101927,0.00478834,0.00875684,0.00466913
NA18486,MAGE,AFR,1.0,AFR,1.0,AFR,1.0,True,0.0562237,-0.00580654,-0.000241081,0.00240145,0.00475651
NA18501,MAGE,AFR,0.9914285714285713,AFR,1.0,AFR,0.9828571428571428,True,0.056556,-0.00601065,0.000691244,0.00256276,0.00587358
NA18504,MAGE,AFR,1.0,AFR,1.0,AFR,1.0,True,0.0569372,-0.00613501,-0.000558077,0.00184489,0.00341182
NA18507,MAGE,AFR,0.9977777777777778,AFR,1.0,AFR,0.9955555555555555,True,0.0569286,-0.00563906,-0.000389441,0.0018965,0.00554985
NA18508,MAGE,AFR,0.9971428571428571,AFR,1.0,AFR,0.9942857142857143,True,0.0564765,-0.00588502,0.000422806,0.00119311,0.0067577
NA18516,MAGE,AFR,0.9954761904761905,AFR,1.0,AFR,0.990952380952381,True,0.0568228,-0.00583871,-0.000313652,0.00186184,0.00675595
