IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
002_S_0413,ADNI,EUR,AFR,Uncertain,0.5921958330376216,0.26
002_S_0729,ADNI,AFR,AFR,Uncertain,0.6059975616366482,0.28
002_S_1155,ADNI,AMR,EUR,Uncertain,0.6083396408835937,0.32
002_S_1261,ADNI,AFR,AFR,Uncertain,0.6080902911031187,0.33
002_S_1268,ADNI,EUR,AMR,Uncertain,0.5900683873555177,0.32
002_S_1280,ADNI,AMR,AMR,AMR,1.0,0.82
002_S_2043,ADNI,AFR,AFR,Uncertain,0.6058312364432263,0.35
002_S_2073,ADNI,AFR,AFR,AFR,0.8044890758940769,0.28
002_S_4171,ADNI,EUR,AFR,EUR,1.0,0.26
002_S_4213,ADNI,AFR,EUR,AFR,0.804468070665433,0.31
002_S_4219,ADNI,EUR,AFR,Uncertain,0.5855823190812627,0.28
002_S_4225,ADNI,EUR,AFR,Uncertain,0.5955691775205995,0.24
002_S_4229,ADNI,EUR,AFR,Uncertain,0.5921902640450918,0.31
002_S_4251,ADNI,EUR,AFR,Uncertain,0.5964415688777732,0.33
002_S_4270,ADNI,AFR,EUR,AFR,0.8054780088047037,0.28
002_S_4447,ADNI,EUR,EUR,EUR,1.0,0.28
002_S_4473,ADNI,AFR,EUR,AFR,0.8054622411210911,0.29
002_S_4521,ADNI,EUR,AFR,Uncertain,0.5909212731553242,0.33
003_S_0907,ADNI,EUR,EUR,Uncertain,0.5848513571337236,0.31
003_S_0908,ADNI,AFR,AFR,Uncertain,0.6055398600843124,0.31
003_S_1057,ADNI,EUR,AFR,Uncertain,0.5759786025547351,0.5
003_S_1074,ADNI,AFR,AFR,Uncertain,0.6043588653000705,0.33
003_S_1122,ADNI,AMR,AMR,AMR,1.0,0.84
003_S_2374,ADNI,EUR,AFR,Uncertain,0.5889829104854261,0.3
003_S_4081,ADNI,EUR,AFR,Uncertain,0.5894927974332219,0.28
003_S_4136,ADNI,AFR,AFR,Uncertain,0.6067133223535771,0.31
003_S_4152,ADNI,AFR,AFR,AFR,0.8038757619969367,0.32
003_S_4288,ADNI,EUR,EUR,EUR,1.0,0.29
