donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
NA06985,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0122752,-0.00727623,0.0109077,unknown
NA07000,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128488,-0.00758789,0.00976125,unknown
NA11919,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126338,-0.00779281,0.0100943,unknown
NA11930,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0123113,-0.00706648,0.0108972,unknown
NA11932,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0125294,-0.00790001,0.0110986,unknown
NA11933,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0125507,-0.00792051,0.00849937,unknown
NA12003,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0127684,-0.00678754,0.0100407,unknown
NA12046,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0123142,-0.00732433,0.00973602,unknown
NA12058,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128501,-0.00811863,0.00948511,unknown
NA12154,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128943,-0.00831615,0.00762241,unknown
NA12275,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126245,-0.00774475,0.007499,unknown
NA12286,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0123853,-0.00614377,0.00803708,unknown
NA12287,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128198,-0.00830996,0.0086959,unknown
NA12348,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126748,-0.00733079,0.00879954,unknown
NA12399,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0127792,-0.00800787,0.00883541,unknown
NA12413,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0124746,-0.0071914,0.00983799,unknown
NA12414,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126601,-0.00762099,0.00804923,unknown
NA12546,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126464,-0.00759632,0.0085083,unknown
NA12717,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126958,-0.00771953,0.0102608,unknown
NA12718,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0125112,-0.00807035,0.00967499,unknown
NA12748,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0129529,-0.00760414,0.00866442,unknown
