donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,PC1,PC2
NA06985,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0122752,-0.00727623
NA07000,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128488,-0.00758789
NA11919,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126338,-0.00779281
NA11930,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0123113,-0.00706648
NA11932,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0125294,-0.00790001
NA11933,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0125507,-0.00792051
NA12003,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0127684,-0.00678754
NA12046,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0123142,-0.00732433
NA12058,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128501,-0.00811863
NA12154,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128943,-0.00831615
NA12275,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126245,-0.00774475
NA12286,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0123853,-0.00614377
NA12287,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128198,-0.00830996
NA12348,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126748,-0.00733079
NA12399,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0127792,-0.00800787
NA12413,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0124746,-0.0071914
NA12414,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126601,-0.00762099
NA12546,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126464,-0.00759632
NA12717,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126958,-0.00771953
NA12718,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0125112,-0.00807035
NA12748,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0129529,-0.00760414
NA12762,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128131,-0.00799306
NA12778,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0130569,-0.00867379
NA12812,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128534,-0.0080614
NA12815,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0128212,-0.0076452
NA12828,MAGE,,,CEU,EUR,EUR,,,unknown,-0.012587,-0.00792186
NA12843,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0130196,-0.00727697
NA12874,MAGE,,,CEU,EUR,EUR,,,unknown,-0.0126001,-0.00801039
NA12878,MAGE,,,CEU,EUR,EUR,,,unknown,-0.012627,-0.00803718
NA12889,MAGE,,,CEU,EUR,EUR,,,unknown,-0.012633,-0.00853681
NA18486,MAGE,,,YRI,AFR,EAS,,,unknown,0.0558343,-0.00815457
NA18501,MAGE,,,YRI,AFR,EAS,,,unknown,0.0561492,-0.00840024
NA18504,MAGE,,,YRI,AFR,EAS,,,unknown,0.0565129,-0.00867784
NA18507,MAGE,,,YRI,AFR,EAS,,,unknown,0.0565218,-0.00812548
NA18508,MAGE,,,YRI,AFR,EAS,,,unknown,0.0560743,-0.0083449
NA18516,MAGE,,,YRI,AFR,EAS,,,unknown,0.0564298,-0.00823384
NA18522,MAGE,,,YRI,AFR,EAS,,,unknown,0.0559096,-0.00859091
NA18528,MAGE,,,CHB,EAS,Unknown,,,unknown,-0.00305589,0.0596979
NA18531,MAGE,,,CHB,EAS,Unknown,,,unknown,-0.00323896,0.0601532
NA18535,MAGE,,,CHB,EAS,Unknown,,,unknown,-0.00324122,0.0597235
NA18536,MAGE,,,CHB,EAS,Unknown,,,unknown,-0.00321639,0.0607078
