sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
NA06985,MAGE,tissue,white,,,unknown,-0.0122752,-0.00727623,0.0109077
NA07000,MAGE,tissue,white,,,unknown,-0.0128488,-0.00758789,0.00976125
NA11919,MAGE,tissue,white,,,unknown,-0.0126338,-0.00779281,0.0100943
NA11930,MAGE,tissue,white,,,unknown,-0.0123113,-0.00706648,0.0108972
NA11932,MAGE,tissue,white,,,unknown,-0.0125294,-0.00790001,0.0110986
NA11933,MAGE,tissue,white,,,unknown,-0.0125507,-0.00792051,0.00849937
NA12003,MAGE,tissue,white,,,unknown,-0.0127684,-0.00678754,0.0100407
NA12046,MAGE,tissue,white,,,unknown,-0.0123142,-0.00732433,0.00973602
NA12058,MAGE,tissue,white,,,unknown,-0.0128501,-0.00811863,0.00948511
NA12154,MAGE,tissue,white,,,unknown,-0.0128943,-0.00831615,0.00762241
NA12275,MAGE,tissue,white,,,unknown,-0.0126245,-0.00774475,0.007499
NA12286,MAGE,tissue,white,,,unknown,-0.0123853,-0.00614377,0.00803708
NA12287,MAGE,tissue,white,,,unknown,-0.0128198,-0.00830996,0.0086959
NA12348,MAGE,tissue,white,,,unknown,-0.0126748,-0.00733079,0.00879954
NA12399,MAGE,tissue,white,,,unknown,-0.0127792,-0.00800787,0.00883541
NA12413,MAGE,tissue,white,,,unknown,-0.0124746,-0.0071914,0.00983799
NA12414,MAGE,tissue,white,,,unknown,-0.0126601,-0.00762099,0.00804923
NA12546,MAGE,tissue,white,,,unknown,-0.0126464,-0.00759632,0.0085083
NA12717,MAGE,tissue,white,,,unknown,-0.0126958,-0.00771953,0.0102608
NA12718,MAGE,tissue,white,,,unknown,-0.0125112,-0.00807035,0.00967499
NA12748,MAGE,tissue,white,,,unknown,-0.0129529,-0.00760414,0.00866442
NA12762,MAGE,tissue,white,,,unknown,-0.0128131,-0.00799306,0.00855757
NA12778,MAGE,tissue,white,,,unknown,-0.0130569,-0.00867379,0.00823438
NA12812,MAGE,tissue,white,,,unknown,-0.0128534,-0.0080614,0.00882684
NA12815,MAGE,tissue,white,,,unknown,-0.0128212,-0.0076452,0.00797066
NA12828,MAGE,tissue,white,,,unknown,-0.012587,-0.00792186,0.00797164
NA12843,MAGE,tissue,white,,,unknown,-0.0130196,-0.00727697,0.00958029
NA12874,MAGE,tissue,white,,,unknown,-0.0126001,-0.00801039,0.0088005
NA12878,MAGE,tissue,white,,,unknown,-0.012627,-0.00803718,0.00872604
NA12889,MAGE,tissue,white,,,unknown,-0.012633,-0.00853681,0.00926985
NA18486,MAGE,tissue,black or african american,,,unknown,0.0558343,-0.00815457,-0.00396984
NA18501,MAGE,tissue,black or african american,,,unknown,0.0561492,-0.00840024,-0.00387502
NA18504,MAGE,tissue,black or african american,,,unknown,0.0565129,-0.00867784,-0.0050111
NA18507,MAGE,tissue,black or african american,,,unknown,0.0565218,-0.00812548,-0.00491339
NA18508,MAGE,tissue,black or african american,,,unknown,0.0560743,-0.0083449,-0.00418712
NA18516,MAGE,tissue,black or african american,,,unknown,0.0564298,-0.00823384,-0.00439319
